-10	3.83907	0.495574	-10
-9.95	3.86521	0.545559	-9.95
-9.9	3.88919	0.595429	-9.9
-9.85	3.91095	0.645061	-9.85
-9.8	3.93043	0.69433	-9.8
-9.75	3.94758	0.743113	-9.75
-9.7	3.96236	0.791289	-9.7
-9.65	3.97474	0.838737	-9.65
-9.6	3.98469	0.885338	-9.6
-9.55	3.99217	0.930976	-9.55
-9.5	3.99717	0.975537	-9.5
-9.45	3.99968	1.01891	-9.45
-9.4	3.99969	1.06098	-9.4
-9.35	3.99721	1.10166	-9.35
-9.3	3.99223	1.14083	-9.3
-9.25	3.98477	1.17839	-9.25
-9.2	3.97484	1.21427	-9.2
-9.15	3.96249	1.24835	-9.15
-9.1	3.94772	1.28057	-9.1
-9.05	3.93059	1.31083	-9.05
-9	3.91113	1.33907	-9
-8.95	3.88939	1.36521	-8.95
-8.9	3.86544	1.38919	-8.9
-8.85	3.83931	1.41095	-8.85
-8.8	3.81109	1.43043	-8.8
-8.75	3.78085	1.44758	-8.75
-8.7	3.74865	1.46236	-8.7
-8.65	3.71458	1.47474	-8.65
-8.6	3.67872	1.48469	-8.6
-8.55	3.64117	1.49217	-8.55
-8.5	3.60201	1.49717	-8.5
-8.45	3.56135	1.49968	-8.45
-8.4	3.51929	1.49969	-8.4
-8.35	3.47593	1.49721	-8.35
-8.3	3.43138	1.49223	-8.3
-8.25	3.38575	1.48477	-8.25
-8.2	3.33915	1.47484	-8.2
-8.15	3.29171	1.46249	-8.15
-8.1	3.24354	1.44772	-8.1
-8.05	3.19477	1.43059	-8.05
-8	3.1455	1.41113	-8
-7.95	3.09587	1.38939	-7.95
-7.9	3.046	1.36544	-7.9
-7.85	2.99602	1.33931	-7.85
-7.8	2.94604	1.31109	-7.8
-7.75	2.89621	1.28085	-7.75
-7.7	2.84663	1.24865	-7.7
-7.65	2.79743	1.21458	-7.65
-7.6	2.74874	1.17872	-7.6
-7.55	2.70068	1.14117	-7.55
-7.5	2.65336	1.10201	-7.5
-7.45	2.60692	1.06135	-7.45
-7.4	2.56145	1.01929	-7.4
-7.35	2.51708	0.975928	-7.35
-7.3	2.47392	0.931377	-7.3
-7.25	2.43208	0.885748	-7.25
-7.2	2.39165	0.839155	-7.2
-7.15	2.35274	0.791714	-7.15
-7.1	2.31545	0.743544	-7.1
-7.05	2.27988	0.694765	-7.05
-7	2.2461	0.6455	-7
-6.95	2.2142	0.595871	-6.95
-6.9	2.18427	0.546002	-6.9
-6.85	2.15638	0.496018	-6.85
-6.8	2.1306	0.446045	-6.8
-6.75	2.10699	0.396206	-6.75
